M,n_tasks,algorithm,run,cvr_mean,robust_util_total_mean,util_total_mean,time_mean_ms,time_std_ms,time_p99_ms,time_max_ms,timeout_rate
10,100,EPD-FF,16,0.0791893333333333,0.95590823747722,0.4717118934342001,2.424516994971782,0.0767814898283337,0.6879088818095626,0.6986998487263918,0.0
10,100,RA-LNS,16,0.04992075,0.9778223668302244,0.4719610667684947,5.768656989093884,4.8160236083898855,123.78040390089154,123.90949996188284,1.0
10,100,RG,16,0.1094283333333333,0.9682634464693066,0.4709388052921883,2.4607419832609594,0.1129312300385255,0.7854239130392681,0.9858000557869672,0.0
10,100,Std-LNS,16,0.14292075,0.9778223668302244,0.4719610667684947,5.48022413963919,4.8160236083898855,123.78040390089154,123.90949996188284,1.0
10,100,DG,17,0.0628536666666667,0.8923439510068505,0.4308541908189851,2.1657739910297096,0.0345606383111984,0.2773418975993994,0.3409001510590315,0.0
10,100,EPD-FF,17,0.0530193333333332,0.8578763042476623,0.4282582829166436,2.3753860015422106,0.0699027068505664,0.6148209096863867,0.6268001161515713,0.0
10,100,RA-LNS,17,0.0253032499999999,0.8849094597371896,0.4353552658562662,6.525197010487318,6.512860327754669,129.36632014578208,129.87320008687675,1.0
10,100,RG,17,0.0515983333333333,0.8812536054838843,0.4332627053013364,2.446897998917848,0.0929308133406684,0.8759150351397693,0.8774001616984606,0.0
10,100,Std-LNS,17,0.1183032499999999,0.8849094597371896,0.4353552658562662,6.198937159962952,6.512860327754669,129.36632014578208,129.87320008687675,1.0
10,100,DG,18,0.0945336666666666,0.9394288978682266,0.450498187695614,2.1590630086138844,0.0263983233384596,0.2491820324212313,0.2671999391168356,0.0
10,100,EPD-FF,18,0.0612393333333333,0.9076616112188136,0.4480715579802269,2.4082559910602868,0.085204082895726,0.6691978522576396,0.7581000681966543,0.0
10,100,RA-LNS,18,0.03323075,0.930915729656699,0.455581149622031,7.361613013781593,6.600564624583582,125.78033407218756,129.43680002354083,1.0
10,100,RG,18,0.0723983333333333,0.926158789230616,0.4529737934170461,2.4377239919267595,0.0689977978076828,0.7235221518203617,0.755400164052844,0.0
